mass (kg),autocorrelation,suitable habitat,run,ind,step length,divergence,x-position
0.001,0,0.2,1,33,0.6269816928641947,2.423331124694194,96.6606302232539
0.001,0,0.2,1,34,0.6269816928641947,2.423331124694194,84.65252995930803
0.001,0,0.2,1,35,0.6269816928641947,2.423331124694194,86.34152412070675
0.001,0,0.2,1,36,0.6269816928641947,2.423331124694194,71.75760905507335
0.001,0,0.2,1,37,0.6269816928641947,1.0426015889961926,91.32647654236982
0.001,0,0.2,1,38,0.6269816928641947,2.423331124694194,91.0110938155533
0.001,0,0.2,1,39,0.6269816928641947,2.423331124694194,103.43317003237291
0.001,0,0.2,1,40,0.6269816928641947,2.423331124694194,75.96559853154184
0.001,0,0.2,1,41,0.6269816928641947,2.423331124694194,65.19411184921024
0.001,0,0.2,1,42,0.6269816928641947,2.423331124694194,86.08405713788741
0.001,0,0.2,1,43,0.6269816928641947,2.423331124694194,107.11977827235249
0.001,0,0.2,1,44,0.6269816928641947,2.423331124694194,77.31086774691796
0.001,0,0.2,1,45,0.6269816928641947,2.423331124694194,89.37958562992011
0.001,0,0.2,1,46,0.6269816928641947,2.423331124694194,97.8198567003967
0.001,0,0.2,1,47,0.6269816928641947,2.423331124694194,86.49347977399653
0.001,0,0.2,1,48,0.6269816928641947,2.423331124694194,70.77657905002944
0.001,0,0.2,1,49,0.6269816928641947,2.423331124694194,85.06964003381059
0.001,0,0.2,1,50,0.6269816928641947,2.423331124694194,76.06941968085131
0.001,0,0.2,1,51,0.6269816928641947,2.423331124694194,86.89294039268476
0.001,0,0.2,1,52,0.6269816928641947,2.423331124694194,95.4683102154747
0.001,0,0.2,1,53,0.6269816928641947,2.423331124694194,73.87092786134012
0.001,0,0.2,1,54,0.6269816928641947,2.423331124694194,88.4884702414857
0.001,0,0.2,1,55,0.6269816928641947,2.423331124694194,93.57667886106802
0.001,0,0.2,1,56,0.6269816928641947,2.423331124694194,93.68826024189974
0.001,0,0.2,1,57,0.6269816928641947,2.423331124694194,84.85917918355467
0.001,0,0.2,1,58,0.6269816928641947,2.423331124694194,79.83747728658267
0.001,0,0.2,1,59,0.6269816928641947,2.423331124694194,94.09548256595154
0.001,0,0.2,1,60,0.6269816928641947,2.423331124694194,84.47053917393377
0.001,0,0.2,1,61,0.6269816928641947,2.423331124694194,85.86167910267673
0.001,0,0.2,1,62,0.6269816928641947,2.423331124694194,77.78195458273346
0.001,0,0.2,1,63,0.6269816928641947,2.423331124694194,90.86548456603934
0.001,0,0.2,1,64,0.6269816928641947,2.423331124694194,65.70892194853991
0.001,0,0.2,1,65,0.6269816928641947,2.423331124694194,64.9817068562039
